metric	n	bias	loa_lower	loa_upper	ci_lower	ci_upper	ci_lower_non_param	ci_upper_non_param
PC1	579	0.12345876674228931	-0.319999763626579	0.5669172971111576	0.10502925915691867	0.14188827432765994	0.10510435779405275	0.14183306705805385
PC2	579	0.13011903420720092	-0.4368178638461482	0.6970559322605501	0.10655794078453125	0.1536801276298706	0.10628322825249491	0.1536696506620169
PC3	579	-0.14322642123673138	-0.8010520807013549	0.5145992382278922	-0.17056472268031955	-0.1158881197931432	-0.1707886328477758	-0.11573530233848381
PC4	579	-0.1304372836891121	-0.7961731057328594	0.5352985383546351	-0.15810432027087026	-0.10277024710735391	-0.1582023962255558	-0.10292405307717982
PC5	579	0.20122334293397534	-0.23218760373621664	0.6346342896041673	0.18321139867709763	0.21923528719085306	0.1833860852862897	0.21943179238530383
PC6	579	0.09937410957257554	-0.21819346515615606	0.4169416843013071	0.08617645155827888	0.1125717675868722	0.08625851156755675	0.11251369284446922
PC7	579	0.033577001454023606	-0.5889683520127037	0.656122354920751	0.0077048994912788625	0.059449103416768345	0.007535581102095574	0.05901492898101564
PC8	579	-0.04161403477515745	-0.6627696151890917	0.5795415456387768	-0.06742837974087908	-0.015799689809435833	-0.06608137553668514	-0.014434320922040238
PC9	579	-0.261816947101658	-1.1742466538029401	0.6506127595996241	-0.29973623165523633	-0.22389766254807963	-0.29970821693962924	-0.2241752543346512
