metric	n	bias	loa_lower	loa_upper	ci_lower	ci_upper	ci_lower_non_param	ci_upper_non_param
PC1	579	0.001648186087010019	-9.019937485987848	9.023233858161868	-0.3732761195459811	0.3765724917200011	-0.36864498313926924	0.37108090132874244
PC2	579	0.0049424755536387885	-8.219920287810066	8.229805238917344	-0.33687115594863426	0.34675610705591187	-0.3393418940544833	0.3398340378590525
PC3	579	0.0010977077786384713	-7.218601261624251	7.220796677181527	-0.2989427420240245	0.30113815758130147	-0.30427512893508135	0.29515034556782344
PC4	579	-0.0004275779632229059	-5.20970485056662	5.208849694640174	-0.21691775333517216	0.21606259740872635	-0.2172100348739129	0.21455230353239052
PC5	579	0.01087495271733705	-4.584810021717368	4.606559927152043	-0.1801151969723489	0.201865102407023	-0.18110121489425113	0.19910794570751492
PC6	579	0.01439034531779191	-4.241605997179219	4.270386687814803	-0.16248282659326696	0.19126351722885077	-0.16461607571336806	0.19302666946573124
PC7	579	0.009685960761087315	-3.2903987268914046	3.309770648413579	-0.12746087849999982	0.14683280002217447	-0.1280761692613658	0.14384995660729305
PC8	579	-0.0036252196406017195	-3.0254215819747414	3.018171142693538	-0.12920679078494157	0.12195635150373813	-0.13191038946485162	0.12095072468235865
PC9	579	-0.018519598306663557	-2.916027204275074	2.8789880076617465	-0.13893590500944855	0.10189670839612144	-0.1396304238094074	0.10389385351559229
