metric	n	bias	loa_lower	loa_upper	ci_lower	ci_upper	ci_lower_non_param	ci_upper_non_param
PC1	579	0.08625345573806104	-0.39988701578623304	0.572393927262355	0.06605014721209745	0.10645676426402462	0.0659384076780023	0.10645573064143007
PC2	579	-0.045723971283912576	-0.668717884428226	0.5772699418604008	-0.07161471475068631	-0.019833227817138834	-0.07139145601966275	-0.0197608641607335
PC3	579	0.09570640268517887	-0.4748515373207996	0.6662643426911573	0.07199482389451455	0.11941798147584319	0.07218253568847517	0.12014224292345582
PC4	579	0.2698829021424586	-0.5176432408308992	1.0574090451158162	0.237154432552455	0.30261137173246216	0.23796692548361006	0.30263625333304844
PC5	579	-0.04921094344596829	-0.5466949270798291	0.44827304018789255	-0.06988567224722596	-0.02853621464471062	-0.0700269976159291	-0.028685146888994845
PC6	579	-0.03762480954299632	-0.5349924307460351	0.4597428116600425	-0.058294702486660493	-0.016954916599332143	-0.05794375306959132	-0.01706365656145344
PC7	579	0.048811220116012355	-0.8297739281334016	0.9273963683654263	0.012298467411518965	0.08532397282050574	0.014372314985886257	0.08657050053532205
PC8	579	0.20315752425907846	-0.5147941490688825	0.9211091975870394	0.1733204709532795	0.23299457756487743	0.17253290911464045	0.23161195533373813
PC9	579	0.09612986120851852	-0.5408966554603633	0.7331563778774003	0.06965594264105743	0.12260377977597961	0.06938838559368918	0.12274132206286105
PC10	579	0.3449551794951784	-1.024549859535239	1.7144602185255957	0.28804049237884227	0.4018698666115145	0.2887969981897063	0.40269935803040413
