,bids_name,cjv,cnr,efc,fber,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,icvs_csf,icvs_gm,icvs_wm,inu_med,inu_range,qi_1,qi_2,rpve_csf,rpve_gm,rpve_wm,size_x,size_y,size_z,snr_csf,snr_gm,snr_total,snr_wm,snrd_csf,snrd_gm,snrd_total,snrd_wm,spacing_x,spacing_y,spacing_z,summary_bg_k,summary_bg_mad,summary_bg_mean,summary_bg_median,summary_bg_n,summary_bg_p05,summary_bg_p95,summary_bg_stdv,summary_csf_k,summary_csf_mad,summary_csf_mean,summary_csf_median,summary_csf_n,summary_csf_p05,summary_csf_p95,summary_csf_stdv,summary_gm_k,summary_gm_mad,summary_gm_mean,summary_gm_median,summary_gm_n,summary_gm_p05,summary_gm_p95,summary_gm_stdv,summary_wm_k,summary_wm_mad,summary_wm_mean,summary_wm_median,summary_wm_n,summary_wm_p05,summary_wm_p95,summary_wm_stdv,tpm_overlap_csf,tpm_overlap_gm,tpm_overlap_wm,wm2max,sub,defaced,site
0,sub-0001_T1w,0.8997711925348284,0.969281470617707,0.694867440475134,-1.0,4.248506657936101,3.580570640474971,4.998858666666666,4.166090666666666,0.2576233890296602,0.350748507306056,0.3916281036642839,0.4515331834554672,0.1138746723532676,0.0,0.0019691023173378,7.108554881701973,6.954845692185415,7.019322604681518,150,256,256,2.2560178354570257,4.25758168533755,5.668801887595031,10.492806141990512,38.701627231066176,95.61009824693868,84.78624598312955,120.04701247138377,1.1999958753585815,0.9375,0.9375,1309.9176094099082,0.0,1.3525071660837316,0.0,2238926.0,0.0,10.443570971488953,5.136817113146812,-0.2066686220214637,104.84769703484707,336.1053989817251,303.4531145989895,353037.81825974287,166.5637273490429,591.1566503942013,134.5081054126415,1.313148762735615,84.45255152191534,731.6407613440655,749.6631065905094,480653.1279771933,405.6428950726986,1007.8888210952282,176.07702732606808,-0.7823010773180994,87.94886218127508,927.6910081730648,941.268944978714,536673.0552206243,771.9258801937103,1056.6254856288433,89.7060381458205,0.18980793343789,0.484919209204142,0.5380161213342723,0.5685140045535221,185,1,1
1,sub-0002_T1w,0.7279175385742148,1.3893189987262908,0.6639373184114821,16826.644659402133,5.419868777824845,5.194843524487484,5.697584824792354,5.367177984194694,0.2640922789627495,0.3757068598859135,0.3602008611513369,0.4093021005392074,0.1927219465374946,0.0,0.002475599892658,6.904197528738436,6.797494201088561,6.88341466980429,146,256,256,2.80235570211842,8.21163100586845,8.284271368867993,13.83882739861711,28.181312926644143,38.78089410479544,37.956867188875584,46.90839453518717,1.1999995708465576,0.9374989867210388,0.9375001192092896,1076.5576321205792,0.0,3.488812277508824,0.0,2320162.0,0.0,18.46684142947197,13.191980012649832,9.553246610788795,120.5283544952938,574.1670626146912,567.4655184149742,360075.0334310825,247.2915254533291,882.5508706271648,202.49561110430744,-0.6084027956167319,63.94512901289944,783.1321399289185,780.9011679142714,512255.264201757,627.380159497261,951.0833710432051,95.09686993205678,-0.2446605227719032,55.183855389819016,935.3486223446756,944.5584204047918,491113.7032494107,811.0636755824089,1034.2662323266268,68.25415416693944,0.2345967525376468,0.5430861395349845,0.5800565265882522,0.4596069728390095,588,1,2
2,sub-0003_T1w,0.7043828876261758,1.3563538177573056,0.6334542962251095,-1.0,4.904323338296846,4.176149040399143,5.644095641158063,4.892725333333333,0.2681229468768358,0.3704668480590377,0.3614102050641263,0.3969590067863464,0.1904656291007995,0.0,0.001194528796994,6.419267715410613,6.294819445174701,6.363180807880132,150,256,256,2.41895938474313,7.242101031866717,7.858659651140496,13.91491853681164,55.41409840750681,95.58143349606014,89.27042512587657,116.81574347406276,1.200002670288086,0.9375000596046448,0.9375,27.47371444301665,0.0,1.8263545746866008,0.0,2560254.0,0.0,11.799337226897478,5.3493702119571545,-0.0908337185136569,149.2240077413173,464.0679998920046,452.47146600857377,405741.6077665709,144.78105678409338,782.8529083617032,187.051883250426,-0.3823837221559025,66.88348774952048,782.2153724144628,780.4488853923976,560615.256197134,601.447297565639,975.2974001392722,107.76543794312468,-0.5336922487373963,55.24525170827712,938.4774708077388,953.8329093419017,546910.13721151,806.2798668891191,1027.3273258320987,68.54743955549466,0.1957576919712811,0.5134893577929863,0.5450465814589914,0.7817123892085347,634,1,0
3,sub-0004_T1w,0.7405236565949586,1.4014888854613696,0.6618115258055948,-1.0,4.164555880196439,3.397070037070964,4.846954666666666,4.249642936851688,0.2583737410921591,0.3742015950543247,0.3674246638535161,0.3240107297897339,0.0657624661922454,0.0,0.0009144118188623,7.520798635171395,7.413922606813558,7.493329558368464,150,256,256,2.191981036616944,6.643402819190108,7.79759503276841,14.557401242498182,29.07825529126057,48.56029914259302,46.00430372409269,60.37435673842448,1.2000046968460083,0.9375,0.9374999403953552,207.7882191448372,0.0,2.6587917628775983,0.0,3111710.0,0.0,17.310056924819946,10.400858007365253,-0.3984878828223972,157.59256278256484,461.6272548887289,461.6424982436001,333659.4571098841,109.7860854677856,803.2456528693438,210.60483587424045,-0.500515368638422,82.24122637924272,772.2152109422424,770.936825029552,483237.5787404182,580.5261988565326,974.5021109394728,116.04535331251216,-0.3673925130864912,56.650206468680494,950.3784844271526,958.4952259138228,474485.9649898309,828.6452108286321,1045.7585668601096,65.84239864734414,0.2056477301637754,0.5328215076387782,0.5562110513994266,0.6583129274677024,264,1,1
4,sub-0005_T1w,0.7324480801324728,1.3385371120728329,0.6718929852641526,-1.0,4.268638717394553,3.5028554103229994,5.031914346746168,4.271146395114492,0.2578862184529756,0.37392618232323,0.3681875992237944,0.3259733617305755,0.0777574092149734,0.0,0.002414434788979,7.287512252469662,7.1599417081607175,7.222007129958615,150,256,256,2.15947868155032,7.305147594040387,7.712951561158366,13.67422840788439,86.81351315230995,159.84869750953456,147.15734338093273,194.80981948095365,1.2000010013580322,0.9375000596046448,0.9375000596046448,54.74476180701495,0.0,0.7447861152384954,0.0,3009144.0,0.0,5.002332787960768,3.2128576823669426,0.0194349940465294,184.8737599711058,440.914137569664,425.74258225411177,344559.713609398,160.07464921474457,781.0637231357396,197.1503437771111,-0.4373063528373944,69.55342040068624,787.4635022966576,783.9147936366498,499599.78111758246,611.3731906861067,978.2022888623178,107.30981119847746,-0.3418591682725229,56.02700936143676,943.276845628364,955.3678060323,491932.506142104,811.1554763317108,1040.122356377542,69.86623350868578,0.2049962591874682,0.5301578170641162,0.5672953615090354,0.6166560712015258,550,1,1
5,sub-0006_T1w,0.7069445323951932,1.3562542939807234,0.6897019297010836,-1.0,4.265463211808059,3.5111523020908426,4.977632,4.307605333333333,0.2644370658135683,0.3722196059261041,0.3633433282603275,0.3302237838506698,0.0718832314014434,0.0,0.0020523394442281,8.032114064491116,7.901875058249367,7.961848922750069,150,256,256,2.1886238280284096,6.570888265162951,6.993639380742091,12.221406049034911,103.28994286167244,206.12813794841372,188.93257748329336,257.37965163979385,1.199999213218689,0.9375,0.9375,78.76855171864403,0.0,0.4273582319940156,0.0,3168907.0,0.0,0.0,2.422970531728189,-0.7083121093384488,163.5261173461453,401.88890512647583,382.009742975235,321089.00524273847,159.39528990536928,723.0051780492067,174.54308192060958,-0.1721983478725191,71.99464047343118,762.8282018570783,762.348732277751,451962.4456993371,567.3017148077488,972.2438993230462,116.01900049691189,-0.5818511304926801,62.00648280508612,932.921373809432,951.89843121171,441184.54980492464,784.4457969814539,1033.091670177877,77.88771182247079,0.1906436538295887,0.5274384037810375,0.57087380469784,0.600258292550299,081,0,1
6,sub-0007_T1w,0.8746723979330786,1.048545228589944,0.6220583347169125,-1.0,4.88400799066372,4.293837001701019,5.582602666666667,4.775584303623472,0.2659028722653838,0.3459359571995799,0.3881611705350363,0.4330664128065109,0.1916253760457038,0.0,0.0012179223193575,7.888092177379126,7.755277599645886,7.830671545772247,150,256,256,2.275343453248964,5.121374023685546,7.114026186025575,13.945361081142211,64.76485256444626,130.19546564880542,118.13045150636728,159.43103630585017,1.19999897480011,0.9375,0.9374999403953552,32.684141492537634,0.0,1.2750668104156535,0.0,2722940.0,0.0,9.119150325655935,3.969104740556568,0.1820570209185175,124.46638175799636,413.84228256775685,392.373990111053,328077.34599914873,108.22727859020232,724.5716091170907,172.44578683726067,-0.0589848220793709,87.54618376711353,774.8118337287655,788.7814505584538,426824.08714427537,496.7181140296161,1015.3071572743356,154.0173638749256,-0.7123734808600726,67.37750418054473,957.2898245743723,965.903408806771,478922.5688467156,834.1266760788858,1058.3976478241384,69.263348203976,0.1915529236109764,0.4880460594374035,0.5307035783765449,0.705360409806074,274,1,0
7,sub-0008_T1w,0.7611171777868978,1.2613074102791448,0.6316159048794999,16371.412254770225,5.170130559172751,5.033885133590944,5.41624052070674,5.060266023220568,0.2622856942249221,0.3739827531882321,0.3637315525868457,0.3860968351364136,0.1687848687171936,0.0,0.0031848957765051,6.210669215568943,6.081575563351125,6.170936039743336,146,256,256,3.514807353970636,8.04108464941612,8.302734118320839,13.35231035157576,23.928478377068277,33.45552106699485,32.452396594240035,39.97319033865699,1.1999995708465576,0.9374989867210388,0.9375001192092896,2165.3865672203083,0.0,2.5613292033717223,0.0,3383350.0,0.0,13.825310572981834,15.30040564885657,3.233196904804511,114.75822099214471,566.0259083716134,558.8384735286236,397377.77724297903,328.5707589685917,816.5718552470207,158.99527743367975,0.7531918244632503,59.915582525169945,785.5710860157569,781.3381206095219,566605.1883931849,627.4564029276371,956.7669778466224,97.16816389629226,-0.1217812719489375,55.93949123631427,924.9020518959358,933.5552524030207,551074.0351555343,797.2441635429859,1027.7893090844154,69.9170690905899,0.2310544428184746,0.5289005154458354,0.5618797013206608,0.3803988337638689,532,0,2
8,sub-0009_T1w,0.9493619593561536,0.8867338706048807,0.6328731866892708,13399.871154785158,5.170955086296197,5.239288856093106,5.165959428594862,5.107616974200625,0.258160889993,0.3563494569438758,0.3854896530631242,0.4701884686946869,0.2083099782466888,0.0,0.0022097144334645,6.85628629009796,6.697397695323217,6.791645935330861,146,256,256,3.4589486658456514,5.760782450870976,7.199847195955885,12.379810471151028,29.5603213778441,45.31267013485743,42.71920126863582,53.28461229320592,1.2000006437301636,0.9374889731407166,0.9374998211860656,1475.179462353974,0.0,2.83648527395137,0.0,3489901.0,0.0,17.097990602254868,11.661202327904046,1.092824908576678,113.65161902584364,545.9526405732083,526.1635416150093,354726.2289840704,345.83397909998894,815.3830261528492,152.11639454570812,9.056062508263944,62.03356564079066,798.4487524690517,806.5499252676964,489642.3275642175,543.0549099743366,1021.0238134264946,140.00686686823514,-0.6618278791065615,72.6788318433461,943.130558707232,948.4477505981922,529682.4431739736,813.161837041378,1059.093961685896,76.61238897877305,0.2265005847478608,0.4991491583233621,0.5301651376054286,0.3218581351677049,435,1,2
9,sub-0010_T1w,0.7110376825245422,1.3296894391917868,0.6683993137651795,-1.0,4.072270145937629,3.408287468238214,4.764330969574672,4.044192,0.2663191534519766,0.3695618079236158,0.3641190386244074,0.337287575006485,0.0701206907629966,0.0,0.0009325099814493,8.180403974649447,8.053140947526805,8.122852717079276,150,256,256,2.2772690114576237,6.377815011588915,7.054514975744529,12.508460904187048,75.69576363090616,140.46400417571417,130.44631270610046,175.17917031168102,1.2000014781951904,0.9374999403953552,0.9375,31.74900019985924,0.0,1.0868768136997125,0.0,2613297.0,0.0,8.633205251768231,3.5593714476518623,-0.6747385160238224,161.82088582808166,427.1654928546819,411.2568615879864,317101.422481464,170.61598727293313,750.6221971604973,180.59184534443028,-0.1535663601830901,72.9154917852425,763.9930365022301,763.1442336067557,440030.59287484514,561.7805543560535,975.370714660734,119.65592684493302,-0.4974921792625548,61.19212594734109,935.7112254635456,951.7525465395302,433549.9854358137,790.2364242617041,1037.4883116073906,76.08861363535718,0.1987761253130276,0.5160202844512212,0.5560687723772909,0.615605191669182,414,1,1
