"","sub","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","defaced","site"
"1",2,1.28982760307504,-6.9431791134893,-0.133844728074726,0.791539009010071,-2.13125228607972,-0.446043623461911,-0.507123794591828,1.62761001125556,-0.235041332468671,0,1
"2",2,5.65899167310405,-1.07662203768639,3.20567050963169,3.24505246838038,2.03334317554427,-0.942807201080154,-0.124981548049754,1.01024923177754,-0.162386660070805,1,1
"3",12,1.85727170164093,-0.432528872433404,1.3655199925821,3.81093605236284,1.27431435501427,1.97009439965731,-0.0435821419869618,0.883731404225529,1.72681906775103,0,0
"4",12,3.05355082510423,-3.99146598548469,-2.40668701485882,3.28470394113773,2.70094662003882,0.045240135071933,-1.18276025182729,0.488199539667837,0.403647666735691,1,0
"5",13,3.22792021560539,-1.18836746687906,0.661362126935466,2.98011481947218,0.960644399125102,1.07357209839843,-0.0176978443012172,-0.0153187068801211,0.0348746206253474,0,0
"6",13,-3.74292924471282,-1.13262595007091,1.72492351220353,-0.443955918715684,-1.52882633478636,-0.841234394048146,0.0246792922675573,1.36598383584281,1.00629709704664,1,0
"7",14,-0.923835837017988,-3.42916661906128,0.696075997518449,-2.44028935807161,-1.24692880698065,1.89699220248718,-0.196194896785418,1.01183900635032,1.02216450248301,0,0
"8",14,-3.54379414801279,0.624363291142248,3.83208498912908,-2.82170949906496,0.982727922986091,-0.328479859275095,0.993172643495643,-0.710378576792679,0.0812326881213806,1,0
"9",15,1.64114689339821,-1.98994776700437,4.58634902879603,-1.53342804102492,2.21292584656222,-3.52398028731011,-0.272132844056439,0.0165646988855875,0.817673344279209,0,0
"10",15,1.22107478088672,-2.11631009366977,3.39757992000884,-1.89558061449158,1.84398036502989,-2.02213935084732,-0.587865855228837,0.184792130448274,-0.640685750314415,1,0
"11",16,-1.32791872260743,-0.440446865672476,5.90696606083205,-2.77626721210091,2.72936254795471,-0.588874463956755,-0.491660141975749,-0.307764610603476,1.29871077433946,0,1
"12",16,-0.465234374831645,0.881102933778887,2.05782591313131,-5.90781465046436,2.26169488911574,-2.1721397203655,1.07702016570031,0.536903919465014,2.02812689158154,1,1
"13",17,-1.22359764509185,-4.07317621379776,-1.1278538400795,-1.49699834331537,-1.69790679879794,0.482944286350676,0.268822989806613,1.16466294536033,0.617347784673105,0,1
"14",17,-5.66536946877309,-1.17379789826947,0.13945026246754,-3.25980365805157,2.1939337989574,2.85849369950556,-0.838573605138988,1.06161611238957,0.878584884070269,1,1
"15",19,-2.203693585193,-0.576679486511877,-0.025811050082054,-3.39976428365066,0.989079132921649,-0.983712947150893,2.24169005037458,0.445592235579956,-0.186091810304431,0,1
"16",19,1.95451804772719,-4.9297348637235,3.11767265185636,-0.801077447609242,-2.26100818096291,-0.657716137816795,-1.51305990058102,0.326583911770085,1.26723757254875,1,1
"17",20,-5.88764333484542,2.42388125359362,0.891029866771224,-0.221342883459553,0.789075226743026,-0.416805163289838,-0.438106327992261,-1.44791236610201,-0.718863596626026,0,1
"18",20,-1.06652389982493,2.44474046391794,-1.38012804682242,-1.75398206925684,0.497593406568385,-1.8742417453027,1.4891354018932,-0.454827756415991,1.25870833018432,1,1
"19",21,2.1750978073224,-6.45637996771689,2.42129855116552,-0.925001108636248,-2.47065536497092,0.546253635143413,-1.03279803299953,2.59105905908852,-0.486514362497782,0,1
"20",21,0.0743043020141406,-4.95824177913169,1.8622584328008,0.412369428272727,-1.36315234732714,-0.721969928926834,-2.3215030058716,0.880074539043766,-0.0770635444585136,1,1
"21",22,5.05254622115246,-4.11373059904174,0.842824373170317,1.55502930576445,1.69400434950932,0.939500817927052,0.559436682167602,1.43943274000181,0.480652548162312,0,1
"22",22,4.14703079771579,-2.78687207929618,0.314461169531288,2.55365402817194,0.8598491784503,0.26960223680536,-0.261623371258389,1.51259406787866,0.0205101806301701,1,1
"23",23,8.5399529570233,2.27520528673342,1.32287043046258,0.184679842472242,1.21272601811561,-1.35262519342845,-1.66765646088553,0.00720513082249255,-0.439112381757067,0,1
"24",23,1.44646121050088,-4.49288430790647,2.76605520053711,-3.85522660964335,-1.37908751436217,-0.0727699774451653,-0.607465623046405,2.77015336602802,0.87253671591717,1,1
"25",24,-2.57881605879754,-2.82709428331053,-0.522984565396987,-2.30628533556055,-0.933769423784272,0.883192663755488,0.103698539898269,-0.794261396016123,0.97040490435302,0,1
"26",24,1.18883256163939,-5.58224685207456,2.05083274506868,-1.19968881388801,-1.32212594992406,-0.265791614585003,-0.950056184178765,1.58639735495662,0.640691515087257,1,1
"27",25,1.48017032540766,2.5454151302027,2.313481872058,-2.53471311485872,4.77412418812435,2.92400343021204,1.26245013312678,0.0798719287934902,2.20231642330113,0,1
"28",25,-3.06956663236771,-3.36839744616144,-2.63152335770117,-0.53230787614056,0.102581627539644,-1.04149626112048,-0.954629400510736,0.3792117946734,1.1225588665974,1,1
"29",26,0.0850304229674754,-4.44346962684559,3.40897703065781,-1.44731084977019,-1.12922098189092,1.73999156387143,-0.940289245667812,0.418486679255776,0.400263932364759,0,1
"30",26,-1.47809874090705,-4.16200062831437,-1.71228791610039,-1.47413428972362,-1.50351757020678,0.300972059334266,0.885467848547063,1.31267208146077,0.969415669845247,1,1
"31",27,-1.76180793234386,-3.94677083978309,-1.64684305877275,-3.59784943727824,0.159851265854729,2.11931045530474,1.22778319969847,1.55956540765369,1.54606429202464,0,1
"32",27,-5.82396254711132,-1.48556931345427,-0.468489204918756,-1.41816970304845,-0.0633044090009927,1.78437615951622,-2.3872996181883,-0.000706339263070462,1.29113738407635,1,1
"33",28,2.22379923424254,-4.41560288784648,1.64968879906764,0.281411163211429,-1.06311809519972,-0.701000039610675,-0.0969737142248347,0.83468926281068,0.0246438739402979,0,1
"34",28,0.0552107028248938,-6.23116582942084,-1.2757550198486,0.0538174782865542,-1.75954356093164,0.121615411022566,-1.716238035675,0.125524275869512,-0.00535137653586293,1,1
