bids_name,sub,defaced,site,cjv,cnr,efc,fber,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,icvs_csf,icvs_gm,icvs_wm,inu_med,inu_range,qi_1,qi_2,rpve_csf,rpve_gm,rpve_wm,snr_csf,snr_gm,snr_total,snr_wm,snrd_csf,snrd_gm,snrd_total,snrd_wm,summary_bg_k,summary_bg_mad,summary_bg_mean,summary_bg_median,summary_bg_n,summary_bg_p05,summary_bg_p95,summary_bg_stdv,summary_csf_k,summary_csf_mad,summary_csf_mean,summary_csf_median,summary_csf_n,summary_csf_p05,summary_csf_p95,summary_csf_stdv,summary_gm_k,summary_gm_mad,summary_gm_mean,summary_gm_median,summary_gm_n,summary_gm_p05,summary_gm_p95,summary_gm_stdv,summary_wm_k,summary_wm_mad,summary_wm_mean,summary_wm_median,summary_wm_n,summary_wm_p05,summary_wm_p95,summary_wm_stdv,tpm_overlap_csf,tpm_overlap_gm,tpm_overlap_wm,wm2max
sub-0035_T1w,51,1,0,0.603701890557857,1.6586746338033886,0.6266127056420706,-1.0,5.181793416023179,4.428270914736207,6.049610666666666,5.067498666666666,0.2643465873075729,0.3798950208655675,0.3557583918268595,0.3886599987745285,0.1825780227780342,0.0,0.0018238620045625,6.544838204067976,6.450209645878289,6.518482771024032,2.22762364132755,7.726915078268845,8.492234541432907,15.522164904702327,87.82763487992074,154.19421974206716,145.08088378593786,193.2207967358256,62.77524825503487,0.0,0.8893526545873194,0.0,2785585.0,0.0,5.569898786023259,3.292617154687215,-0.3158099193585189,160.83498377609533,453.55790082940734,441.4085025060922,392488.5957619248,109.74852071516216,783.8736098390073,198.1519373364677,-0.529616757820186,70.42289836119468,777.5101130624918,774.9569907523692,564049.1325994971,611.7804709523916,965.552711872384,100.29310480877224,-0.5092597887760029,47.98822565730126,955.5019586941786,971.0987055134028,528212.272610809,829.4368162173778,1032.5588333196938,62.56200679760165,0.204152643171391,0.533986562122467,0.5641011904302893,0.8242132813926594
sub-0036_T1w,128,0,0,0.6551033058513125,1.590924797309022,0.5971532121492826,-1.0,5.153243594567705,4.30784811703645,6.032576000000001,5.119306666666666,0.2617222311092712,0.3828216948266498,0.355456074064079,0.368560642004013,0.1604547202587127,0.0,0.001376036534137,6.850422267178755,6.750811179354203,6.815068017471108,2.0956781305634724,8.338185412372631,8.615998872303821,15.41413307397536,68.72284845323134,117.96295555686704,110.5660936527526,145.01247694815942,43.31787041164075,0.0,1.3432999047671803,0.0,2940197.0,0.0,9.597159177064896,4.347830004181731,-0.6337231909486589,173.946706981849,455.50218132026384,456.0809969920665,371488.7966393232,70.94699921645224,802.8983367532492,217.62902255098243,-0.5168403841302682,67.08864813246772,785.1195359592965,782.8642669711262,543377.4965765246,628.8538550771773,956.8847557492554,93.88895879437446,-0.5181403419115935,50.51213167980073,949.251011461522,962.3791293781252,504534.70709208417,827.563035838306,1030.2550376579163,62.43479091750758,0.1900413999600032,0.5406225326351977,0.5670995019715188,0.8015146670929582
sub-0037_T1w,274,0,0,0.872058530907064,1.05948031106932,0.5814587582239613,-1.0,4.898591994850441,4.307903680385317,5.603754666666666,4.784117637499341,0.2681187612803118,0.3456893191592302,0.3861919195604579,0.4337174296379089,0.1907949328422545,0.0,0.0014832199371706,7.841702631623647,7.709977244440575,7.7848919409396835,2.261125477166747,5.112881576612098,7.097748829531047,13.919239434814294,61.88425972147745,124.95345342362695,113.40067516688634,153.3643123555546,30.21369787333333,0.0,1.3910750458265402,0.0,2728059.0,0.0,9.444602586328983,4.125368841031683,0.1544499067569367,124.14893645328252,410.1655463084972,389.6828153729439,332779.08660795743,102.79991319030523,719.4258694499731,172.33994035706195,-0.1201512922167626,88.60955766396215,773.0580715905769,786.8271146789193,429056.7930815763,495.5813514590264,1013.968567430973,153.8909489613527,-0.7139145725251717,67.40353743496748,956.8720305400658,965.7292061895132,479327.1221790476,833.3064581155777,1057.9442235678434,69.38081662662157,0.1880531278767088,0.4874194366575716,0.5303670920053704,0.707262514729985
sub-0038_T1w,118,0,1,0.573064913016825,1.756975499421349,0.6345768071843192,-1.0,4.176069010878782,3.355488866855389,4.945292553146065,4.227425612634892,0.2592783598411193,0.384126284862484,0.3565953552963966,0.2515228390693664,0.0453692898154258,0.0,0.0005355831179062,7.5495871817905265,7.469448836838908,7.549035388258487,2.2027004986477965,7.12637540431776,8.441510325473518,15.995455073454997,100.9195035985957,168.16887292992652,161.67938275645176,215.9497717408331,32.83562158218436,0.0,0.7653333665901358,0.0,2903586.0,0.0,4.930037096142769,2.9610149130111285,-0.423357539264833,155.28645381797796,460.0741754727909,456.1250987872481,333661.95091635885,111.24000369384883,792.6726311445236,207.07509511753383,-0.592027132572142,77.28492867682937,762.482958318154,760.071552503854,494327.1227263565,586.0219095312059,962.2997408397496,106.65601243078612,-0.2575833929409179,46.47128071110231,963.15181681239,976.0265107937156,458897.9273427133,840.3054895587265,1041.567003954202,61.01892336696862,0.2107206474857007,0.5302883647289922,0.5475332901188711,0.6763745373549263
sub-0039_T1w,632,0,0,0.7526136037387055,1.1909224840619668,0.6026184333567102,-1.0,4.803648930277165,4.157421457498164,5.502688,4.750837333333333,0.26882389710704,0.3559053111692177,0.3752707917237423,0.3801784664392471,0.1581356331706047,0.0,0.0016570849020815,7.223090824546442,7.094624086639505,7.160399961099123,2.5224808066577795,6.455307723470638,7.884442690369679,14.675539540980616,61.672493235775605,115.33964792284183,105.4884036099341,139.45306967118486,1453.7948962104306,0.0,1.3245318037904532,0.0,3048423.0,0.0,9.2342624142766,4.5817401574994605,0.2034442445958051,136.0844388846809,451.20612027057285,431.31069937720895,362355.7959534333,164.67767972126603,764.2235205695033,170.98647612713094,-0.2726140190914106,69.65069411854752,801.8990432626925,806.6355290897191,479735.4465158481,582.5658993050456,1010.2434462569654,124.95681428907918,-0.4920197951034644,57.26917975053504,963.7868456609516,975.2743541635572,505838.75874318846,838.3499221354723,1055.3046284206212,66.4557093402022,0.2031058785184541,0.5016768549928146,0.5584468338918722,0.6860437814488325
sub-0040_T1w,646,1,0,0.8647503379386327,1.0055819391777223,0.6130270413440624,-1.0,5.130251014666391,4.57116936909952,5.706197333333334,5.113386341566319,0.2619864732932215,0.3448696674252011,0.3931438592815773,0.4500883221626282,0.2506671905517578,0.0,0.0017183134143498,7.232160607718117,7.095907442358158,7.163367171655612,2.459123032156992,5.696017527969846,7.84314775099937,15.374302692871272,48.98564792479424,95.3264319352215,86.01675167236442,113.73817515707752,1398.282240075256,0.0,1.627529639504599,0.0,2603844.0,0.0,10.696562469005585,5.598454783250578,0.194759518547237,130.87278677575873,435.4667999099901,418.6058581620455,352633.0076686681,144.8664253614843,742.7168435510248,170.22542554580315,0.197577484696954,76.39646510300626,801.2911142866473,814.6100855302066,464193.5385027701,543.2362386602908,1022.8330732081084,143.01381694895744,-0.5660469342310197,59.660912118864665,964.4671154222904,971.9472628086804,529170.4560249036,851.3280932363123,1057.4683367796242,63.21888958841216,0.1961606195525123,0.484215907887564,0.5316955708928229,0.741423611792166
sub-0041_T1w,483,0,0,0.7134771576996293,1.2880182140774714,0.6104279225713565,-1.0,5.162824507652713,4.448580189624806,5.860522666666666,5.179370666666667,0.2707541771648694,0.3618117703700388,0.3674340524650916,0.3796257823705673,0.1991569712758064,0.0,0.0019230280957959,5.622464534869348,5.498282868381371,5.559170979715578,2.328702114266376,7.146837624886933,8.424716480058597,15.798609701022482,69.31366818412857,127.77572562092033,117.03588632456676,154.01826516865142,35.10706844663031,0.0,1.4279672688399991,0.0,2534993.0,0.0,10.039364658296108,4.129449943668496,-0.3942629310769825,157.81364316903867,449.5863202381466,436.8972983006388,467839.9337255549,138.91310361400247,782.9647658243775,187.61387671420104,-0.1979533312641361,66.86222111927253,805.3913461618973,805.3948200214654,625179.6239803594,610.525468127802,998.890364119783,112.69238482289092,-0.54457999027376,51.155278723942544,958.2301335733176,970.8065624572336,634894.4439335681,839.2380466721952,1039.7347266506404,61.44881203390931,0.1818113719595524,0.4977929081617643,0.5353837414345907,0.7483453149502067
